                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                0.87338,                0.52854,                 1.4102,                0.99993,                      1,                  0.995,                 0.8181,                 3.2774,                  1.268,                 5.6387,               0.007624,               0.007624,               0.007624
                     51,                0.87135,                0.52155,                 1.3996,                0.99991,                      1,                  0.995,                0.81401,                 3.2938,                 1.0089,                 5.5863,              0.0075745,              0.0075745,              0.0075745
                     52,                0.87984,                  0.518,                 1.4121,                0.99991,                      1,                  0.995,                0.81972,                 3.2286,                0.90806,                 5.8248,               0.007525,               0.007525,               0.007525
                     53,                0.86442,                0.52352,                 1.4024,                0.99995,                      1,                  0.995,                0.81838,                  3.238,                0.97404,                 5.9274,              0.0074755,              0.0074755,              0.0074755
                     54,                0.86439,                0.51158,                 1.4051,                      1,                0.99936,                  0.995,                0.82139,                 3.2512,                 1.2845,                 6.2482,               0.007426,               0.007426,               0.007426
                     55,                0.86491,                0.52055,                 1.4018,                 0.9998,                0.99955,                  0.995,                0.83263,                 3.2519,                 1.2012,                   5.75,              0.0073765,              0.0073765,              0.0073765
                     56,                0.85319,                0.50753,                 1.3919,                      1,                0.99942,                  0.995,                0.82849,                 3.2613,                0.99223,                  5.607,               0.007327,               0.007327,               0.007327
                     57,                0.85364,                 0.5217,                 1.3917,                0.99982,                      1,                  0.995,                0.82719,                 3.2128,                 1.0155,                 5.4398,              0.0072775,              0.0072775,              0.0072775
                     58,                0.85905,                 0.5153,                 1.3985,                 0.9995,                      1,                  0.995,                0.81992,                 3.2743,                0.94391,                 5.8767,               0.007228,               0.007228,               0.007228
                     59,                0.85118,                0.50735,                 1.3912,                0.99995,                      1,                  0.995,                 0.8338,                 3.2335,                0.92546,                 5.5745,              0.0071785,              0.0071785,              0.0071785
                     60,                0.85227,                0.51824,                 1.3932,                0.99978,                      1,                  0.995,                0.83826,                 3.2111,                0.95174,                 5.7703,               0.007129,               0.007129,               0.007129
                     61,                0.83774,                0.50346,                 1.3816,                 0.9996,                0.99731,                  0.995,                0.84153,                 3.2553,                 1.1942,                  6.428,              0.0070795,              0.0070795,              0.0070795
                     62,                0.84755,                0.51313,                 1.3816,                0.99986,                 0.9991,                  0.995,                0.83639,                 3.2157,                0.93674,                 6.3231,                0.00703,                0.00703,                0.00703
                     63,                0.84476,                0.50279,                 1.3847,                0.99994,                      1,                  0.995,                 0.8386,                 3.2271,                0.93751,                 6.5284,              0.0069805,              0.0069805,              0.0069805
                     64,                0.84079,                0.50073,                 1.3778,                0.99978,                      1,                  0.995,                0.83368,                 3.2376,                 1.2649,                 5.4978,               0.006931,               0.006931,               0.006931
                     65,                0.84385,                0.50628,                 1.3822,                0.99988,                      1,                  0.995,                 0.8445,                 3.2341,                0.99424,                 6.0411,              0.0068815,              0.0068815,              0.0068815
                     66,                0.83483,                 0.4945,                 1.3799,                0.99994,                      1,                  0.995,                0.83039,                 3.2071,                0.93096,                 6.2262,               0.006832,               0.006832,               0.006832
                     67,                0.83415,                0.49781,                 1.3834,                0.99995,                      1,                  0.995,                 0.8514,                 3.1934,                0.91466,                 6.0858,              0.0067825,              0.0067825,              0.0067825
                     68,                0.83467,                0.49476,                 1.3801,                0.99981,                      1,                  0.995,                0.82595,                 3.2936,                0.93924,                 5.7396,               0.006733,               0.006733,               0.006733
                     69,                0.82603,                0.49344,                 1.3713,                0.99981,                      1,                  0.995,                0.85081,                 3.2312,                 1.0903,                 6.0589,              0.0066835,              0.0066835,              0.0066835
                     70,                 0.8197,                0.48293,                 1.3688,                0.99984,                      1,                  0.995,                0.84591,                 3.2426,                 1.0079,                 6.0708,               0.006634,               0.006634,               0.006634
                     71,                0.83168,                0.49761,                  1.375,                0.99978,                0.99955,                  0.995,                0.86174,                 3.2055,                0.96748,                 6.0974,              0.0065845,              0.0065845,              0.0065845
                     72,                 0.8195,                0.49388,                 1.3724,                      1,                0.99996,                  0.995,                 0.8428,                 3.2585,                0.96181,                 5.5761,               0.006535,               0.006535,               0.006535
                     73,                0.81567,                0.47799,                  1.365,                0.99986,                      1,                  0.995,                0.85601,                 3.2198,                0.96442,                 6.6816,              0.0064855,              0.0064855,              0.0064855
                     74,                0.82478,                0.49332,                 1.3772,                0.99992,                      1,                  0.995,                0.86925,                 3.1824,                0.91145,                 6.3116,               0.006436,               0.006436,               0.006436
                     75,                0.81183,                0.48873,                 1.3669,                0.99981,                      1,                  0.995,                0.85991,                 3.1951,                 1.1127,                 6.2201,              0.0063865,              0.0063865,              0.0063865
                     76,                0.82483,                0.49663,                 1.3725,                0.99988,                      1,                  0.995,                0.85215,                 3.1976,                0.96285,                 6.0976,               0.006337,               0.006337,               0.006337
                     77,                0.82249,                0.49385,                 1.3724,                0.99985,                      1,                  0.995,                0.84341,                 3.2361,                0.97898,                 6.0984,              0.0062875,              0.0062875,              0.0062875
                     78,                0.81867,                0.48499,                 1.3586,                0.99992,                      1,                  0.995,                0.85775,                 3.1844,                0.97876,                 5.9051,               0.006238,               0.006238,               0.006238
                     79,                0.81736,                0.48625,                 1.3667,                0.99989,                      1,                  0.995,                0.84754,                 3.2277,                 1.0237,                 6.4538,              0.0061885,              0.0061885,              0.0061885
                     80,                0.80832,                0.48352,                  1.358,                      1,                0.99993,                  0.995,                0.85145,                 3.2205,                0.95288,                 6.2082,               0.006139,               0.006139,               0.006139
                     81,                 0.8137,                0.48069,                 1.3652,                0.99988,                      1,                  0.995,                0.86997,                 3.1949,                 1.0018,                 6.1752,              0.0060895,              0.0060895,              0.0060895
                     82,                0.81407,                0.49004,                 1.3584,                0.99994,                      1,                  0.995,                0.86193,                 3.1996,                 1.0011,                 6.1295,                0.00604,                0.00604,                0.00604
                     83,                0.79923,                 0.4791,                 1.3515,                0.99994,                      1,                  0.995,                0.86813,                 3.2124,                0.95557,                 5.6623,              0.0059905,              0.0059905,              0.0059905
                     84,                0.78951,                0.47396,                 1.3381,                0.99996,                      1,                  0.995,                0.85847,                 3.2152,                0.92455,                 5.9143,               0.005941,               0.005941,               0.005941
                     85,                0.78837,                0.48133,                 1.3453,                0.99985,                      1,                  0.995,                0.87414,                 3.1774,                 1.1288,                 6.2196,              0.0058915,              0.0058915,              0.0058915
                     86,                0.80197,                0.47939,                 1.3558,                0.99995,                      1,                  0.995,                0.84198,                 3.2666,                0.99153,                 6.3595,               0.005842,               0.005842,               0.005842
                     87,                0.79934,                0.47843,                 1.3556,                0.99996,                      1,                  0.995,                0.86606,                  3.214,                0.93256,                 5.9599,              0.0057925,              0.0057925,              0.0057925
                     88,                0.79717,                 0.4678,                 1.3508,                0.99994,                      1,                  0.995,                0.86499,                 3.2029,                 0.9824,                 6.1672,               0.005743,               0.005743,               0.005743
                     89,                0.79342,                0.47099,                 1.3491,                0.99997,                      1,                  0.995,                 0.8797,                 3.1816,                0.97245,                 6.1693,              0.0056935,              0.0056935,              0.0056935
                     90,                 0.8008,                0.47194,                 1.3565,                0.99989,                      1,                  0.995,                0.86632,                 3.1853,                0.94223,                 5.8749,               0.005644,               0.005644,               0.005644
                     91,                0.79123,                0.46621,                 1.3484,                0.99987,                      1,                  0.995,                0.87549,                 3.1848,                  1.005,                 6.1249,              0.0055945,              0.0055945,              0.0055945
                     92,                 0.7862,                0.47165,                 1.3501,                0.99993,                      1,                  0.995,                0.87254,                 3.1688,                0.99842,                 6.1134,               0.005545,               0.005545,               0.005545
                     93,                0.79756,                0.47244,                 1.3479,                0.99991,                      1,                  0.995,                0.87709,                 3.1799,                 1.0479,                 6.2634,              0.0054955,              0.0054955,              0.0054955
                     94,                0.78576,                0.45971,                 1.3376,                0.99994,                      1,                  0.995,                0.86641,                 3.1999,                0.99013,                 6.1841,               0.005446,               0.005446,               0.005446
                     95,                0.77855,                0.46745,                 1.3314,                0.99994,                      1,                  0.995,                0.87415,                 3.1923,                0.96842,                 6.3112,              0.0053965,              0.0053965,              0.0053965
                     96,                0.77848,                 0.4681,                 1.3385,                0.99996,                      1,                  0.995,                0.86932,                 3.2126,                0.99031,                 5.9895,               0.005347,               0.005347,               0.005347
                     97,                0.78588,                0.46465,                 1.3378,                0.99988,                      1,                  0.995,                0.87291,                 3.1921,                 1.0899,                 6.2428,              0.0052975,              0.0052975,              0.0052975
                     98,                0.77749,                0.46521,                 1.3319,                0.99997,                      1,                  0.995,                0.87684,                 3.1814,                0.91118,                 6.1833,               0.005248,               0.005248,               0.005248
                     99,                0.77197,                0.45381,                 1.3438,                0.99995,                      1,                  0.995,                0.86865,                 3.2062,                0.96777,                 6.0089,              0.0051985,              0.0051985,              0.0051985
                    100,                0.77356,                0.46073,                 1.3332,                0.99993,                      1,                  0.995,                 0.8839,                 3.1778,                0.91346,                  5.884,               0.005149,               0.005149,               0.005149
                    101,                0.76632,                0.45054,                 1.3294,                0.99996,                      1,                  0.995,                0.88415,                 3.1783,                0.93388,                 6.1476,              0.0050995,              0.0050995,              0.0050995
                    102,                0.78431,                0.46389,                 1.3457,                0.99995,                      1,                  0.995,                0.88131,                 3.1848,                0.93094,                 5.6867,                0.00505,                0.00505,                0.00505
                    103,                   0.77,                0.45499,                 1.3346,                0.99989,                      1,                  0.995,                 0.8763,                 3.2025,                 1.0103,                 6.3181,              0.0050005,              0.0050005,              0.0050005
